air_name,air_hindex,air_research_gate_score,air_link,air_designation,air_education,air_papers,air_citations,air_city,air_expertise,,,,,,,,,,,
Parag Singla,12,,https://scholar.google.com/citations?user=4PqxB3gAAAAJ&hl=en,IIT Madras,,42,928,New Delhi,"Computational neuroscience, computational cardiology, pattern recognition",,,,,,,,,,,
Arijit Biswas,19,,https://scholar.google.co.in/citations?user=oV1WKFMAAAAJ,IBM Research India,,50,1461,Bengaluru,"AI, Reasoning, Big Data, Noisy Text",,,,,,,,,,,
V Srinivasa Chakravarthy,16,,https://scholar.google.com/citations?user=4Jlqf30AAAAJ&hl=en,Indian Statistical Institute,,85,727,Chennai,"Document Image Processing, OCR, Natural Language Processing, Pattern Recognition, Information Retrieval",,,,,,,,,,,
L Venkata Subramaniam,14,,https://scholar.google.com/citations?user=xVs3dPgAAAAJ&hl=en,"Associate Professor, Computer Science and Engineering, IIT Bombay",,84,589,New Delhi,"Image AnalysisMedical Image Computing, Machine Learning, computer vision, ",,,,,,,,,,,
Utpal Garain,16,,https://scholar.google.com/citations?user=9peAMr2Nkk8C&hl=en,"Senior Manager, IBM Research AI","University of Duisburg-Essen, North Maharashtra University",94,681,Kolkata,Text processingSpeech recognitionMachine Learningdeep learning,,,,,,,,,,,
Suyash P. Awate,14,,https://scholar.google.com/citations?user=cj3fJJsbjAoC&hl=en,"Professor in the Department of Computer Science and Automation, Indian Institute of Science",,73,924,Mumbai,"Stochastic systems, control, simulation, optimization",,,,,,,,,,,
Ashish Verma,13,,https://scholar.google.com/citations?user=V6ddZSkAAAAJ&hl=en,"Associate Professor, IIT Kanpur",,129,526,New Delhi,"Robotics,CAD, Optimization, Molecular Docking, Applied Mathematics",,,,,,,,,,,
Shalabh Bhatnagar,17,,https://scholar.google.com/citations?user=HOIpJSwAAAAJ&hl=en,Indian Institute of Science,,145,1242,Bengaluru,Machine Learning,,,,,,,,,,,
Bhaskar Dasgupta,15,,https://scholar.google.com/citations?user=YZkeEqAAAAAJ&hl=en,IIT Bombay,,51,1955,Kanpur,"Artificial Intelligence, Machine Learning, ",,,,,,,,,,,
Shyam S Pattnaik,14,,https://scholar.google.co.in/citations?user=elmWdycAAAAJ&hl=en,IIT Bombay,,107,661,Chandigarh,"Machine Learning, computer vision, Computer Graphics",,,,,,,,,,,
